pack-name,data-duration,time-range,price,volume,offer-code
750 مگابایت,3 روزه,,13970,750,PO1960OEB
300 مگابایت,7 روزه,,11473,300,PO2093HBH
4 گیگابایت,7 روزه,,33484,4096,PO2094HBH
50 گیگابایت,30 روزه,,421850,51200,PO4086OLG
45 گیگابایت,90 روزه,,380380,46080,PO4084OLG
60 گیگابایت,90 روزه,,506550,61440,PO4085OLG
80 گیگابایت,90 روزه,,674850,81920,PO4087OLG
100 گیگابایت,120 روزه,,830500,102400,PO2101HBH
۹۰ گیگ اینترنت فوتبالی پلاس + ۲۰۲۶ دقیقه مکالمه,60 روزه,,429000,92160,PO6169RSI
۴۵ گیگ اینترنت فوتبالی پلاس + ۲۰۲۶ دقیقه مکالمه,60 روزه,,247500,46080,PO6168RSI
۱ گیگابایت,30 روزه,,21901,1024,PO2063VTH
۲ گیگابایت,30 روزه,,29216,2048,PO1996XOI
۳ گیگابایت,30 روزه,,39644,3072,PO1995VTH
۴ گیگابایت,30 روزه,,44451,4096,PO1991VTH
۵ گیگابایت,30 روزه,,49236,5120,PO1993XOI
6 گیگابایت,30 روزه,,57629,6144,PO2096HBH
۴۰۰ مگابایت,15 روزه,,14597,400,PO2095HBH
۷۵۰ مگابایت,15 روزه,,18777,750,PO1987XOI
۱.۵ گیگابایت,15 روزه,,23991,1536,PO1985OEB
۲.۵ گیگابایت,15 روزه,,30250,2560,PO1983VTH
۳.۵ گیگابایت,15 روزه,,34430,3584,PO1964XOI
۲۰۰ مگابایت,7 روزه,,9009,200,PO2061OEB
۵۰۰ مگابایت,7 روزه,,14597,500,PO1965OEB
۷۵۰ مگابایت,7 روزه,,17314,750,PO1968XOI
۱.۵ گیگابایت,7 روزه,,22737,1536,PO1969OEB
۲.۵ گیگابایت,7 روزه,,27126,2560,PO1974XOI
۶۰ مگابایت,روزانه,,2703,60,PO1941OEB
۱۰۰ مگابایت,روزانه,,4499,100,PO1942OEB
۲۰۰ مگابایت,روزانه,,6666,200,PO1943VTH
۳۰۰ مگابایت,روزانه,,8129,300,PO1945OEB
۴۰۰ مگابایت,روزانه,,9383,400,PO1948OEB
۷۵۰ مگابایت,روزانه,,11880,750,PO1951VTH
۱.۵ گیگابایت,روزانه,,15433,1536,PO2059XOI
۱۵۰ مگابایت,3 روزه,,6754,150,PO1954OEB
۲۵۰ مگابایت,3 روزه,,9174,250,PO1956VTH
۴۰۰ مگابایت,3 روزه,,11055,400,PO1958OEB
۱.۵ گیگابایت,3 روزه,,18777,1536,PO1962VTH
۲.۵ گیگابایت,3 روزه,,22946,2560,PO2062VTH
