pack-name,type,data-duration,time-range,price,volume,offer-code
1 روزه 1 گیگابایت,POSTPAID,1 روزه,,11750,1024.0,402122089
1 روزه 1 گیگابایت,PREPAID,1 روزه,,11750,1024.0,402112098
1 روزه 100 مگابایت,POSTPAID,1 روزه,,3820,100.0,403122090
1 روزه 100 مگابایت,PREPAID,1 روزه,,3820,100.0,403111106
1 روزه 3 گیگابایت,POSTPAID,1 روزه,,17980,3072.0,402122090
1 روزه 3 گیگابایت,PREPAID,1 روزه,,17980,3072.0,402112099
1 روزه 300 مگابایت,POSTPAID,1 روزه,,6930,300.0,402122087
1 روزه 300 مگابایت,PREPAID,1 روزه,,6930,300.0,402112096
1 روزه 500 مگابایت,POSTPAID,1 روزه,,8770,500.0,402122088
1 روزه 500 مگابایت,PREPAID,1 روزه,,8770,500.0,402112097
1 ماهه 1 گیگابایت,POSTPAID,1 ماهه,,18690,1024.0,402122104
1 ماهه 1 گیگابایت,PREPAID,1 ماهه,,18690,1024.0,402112113
1 ماهه 10 گیگابایت,POSTPAID,1 ماهه,,69900,10240.0,403122094
1 ماهه 10 گیگابایت,PREPAID,1 ماهه,,69900,10240.0,403111110
1 ماهه 100 گیگابایت,DATA,1 ماهه,,288800,102400.0,403132015
1 ماهه 15 گیگابایت,DATA,1 ماهه,,76700,15360.0,403132012
1 ماهه 15 گیگابایت,POSTPAID,1 ماهه,,21240,15360.0,403122021
1 ماهه 15 گیگابایت,POSTPAID,1 ماهه,,99900,15360.0,405122016
1 ماهه 15 گیگابایت,PREPAID,1 ماهه,,21240,15360.0,403112028
1 ماهه 15 گیگابایت,PREPAID,1 ماهه,,99900,15360.0,405112018
1 ماهه 2 گیگابایت,POSTPAID,1 ماهه,,25480,2048.0,402122105
1 ماهه 2 گیگابایت,PREPAID,1 ماهه,,25480,2048.0,402112114
1 ماهه 25 گیگابایت,POSTPAID,1 ماهه,,151000,25600.0,405122017
1 ماهه 25 گیگابایت,PREPAID,1 ماهه,,151000,25600.0,405112019
1 ماهه 3 گیگابایت,POSTPAID,1 ماهه,,33840,3072.0,402122106
1 ماهه 3 گیگابایت,PREPAID,1 ماهه,,33840,3072.0,402112115
1 ماهه 35 گیگابایت,DATA,1 ماهه,,175500,35840.0,403132013
1 ماهه 4 گیگابایت,POSTPAID,1 ماهه,,37660,4096.0,402122107
1 ماهه 4 گیگابایت,PREPAID,1 ماهه,,37660,4096.0,402112116
1 ماهه 50 گیگابایت,POSTPAID,1 ماهه,,290000,51200.0,405122018
1 ماهه 50 گیگابایت,PREPAID,1 ماهه,,290000,51200.0,405112020
1 ماهه 55 گیگابایت,DATA,1 ماهه,,181700,56320.0,403132014
1 ماهه 5گیگابایت,POSTPAID,1 ماهه,,41480,5120.0,403122108
1 ماهه 5گیگابایت,PREPAID,1 ماهه,,41480,5120.0,403111124
1 ماهه 7 گیگابایت,POSTPAID,1 ماهه,,52300,7168.0,403122092
1 ماهه 7 گیگابایت,PREPAID,1 ماهه,,52300,7168.0,403111108
1 ماهه 80 گیگابایت,DATA,1 ماهه,,230000,81920.0,403132048
1 ماهه 8گیگابایت,POSTPAID,1 ماهه,,58400,8192.0,403122093
1 ماهه 8گیگابایت,PREPAID,1 ماهه,,58400,8192.0,403111109
15 روزه 1.5 گیگابایت,POSTPAID,15 روزه,,20810,1536.0,402122100
15 روزه 1.5 گیگابایت,PREPAID,15 روزه,,20810,1536.0,402112109
15 روزه 15 گیگابایت,POSTPAID,15 روزه,,90000,15360.0,405122015
15 روزه 15 گیگابایت,PREPAID,15 روزه,,90000,15360.0,405112017
15 روزه 3 گیگابایت,POSTPAID,15 روزه,,30160,3072.0,402122101
15 روزه 3 گیگابایت,PREPAID,15 روزه,,30160,3072.0,402112110
15 روزه 5 گیگابایت,POSTPAID,15 روزه,,33840,5120.0,402122102
15 روزه 5 گیگابایت,PREPAID,15 روزه,,33840,5120.0,402112111
1ساله 150 گیگابایت,POSTPAID,1ساله,,885000,153600.0,405122024
1ساله 150 گیگابایت,PREPAID,1ساله,,885000,153600.0,405112026
1ساله 300 گیگابایت,DATA,1ساله,,1292000,307200.0,403132021
1ساله 300 گیگابایت,POSTPAID,1ساله,,1690000,307200.0,405122025
1ساله 300 گیگابایت,PREPAID,1ساله,,1690000,307200.0,405112027
1ساله 500 گیگابایت,DATA,1ساله,,1710000,512000.0,403132022
1ساله 720 گیگابایت,DATA,1ساله,,1963000,737280.0,403132023
2 ماهه 15 گیگابایت,POSTPAID,2 ماهه,,117000,15360.0,403122098
2 ماهه 15 گیگابایت,PREPAID,2 ماهه,,117000,15360.0,403111114
2 ماهه 35 گیگابایت,POSTPAID,2 ماهه,,266000,35840.0,405122019
2 ماهه 35 گیگابایت,PREPAID,2 ماهه,,266000,35840.0,405112021
3 روزه 1 گیگابایت,POSTPAID,3 روزه,,15430,1024.0,402122092
3 روزه 1 گیگابایت,PREPAID,3 روزه,,15430,1024.0,402112101
3 روزه 150 مگابایت,POSTPAID,3 روزه,,6140,150.0,402122091
3 روزه 150 مگابایت,PREPAID,3 روزه,,6140,150.0,402112100
3 روزه 3 گیگابایت,POSTPAID,3 روزه,,22510,3072.0,402122093
3 روزه 3 گیگابایت,PREPAID,3 روزه,,22510,3072.0,402112102
3 ماهه 100 گیگابایت,DATA,3 ماهه,,447200,102400.0,403132016
3 ماهه 150 گیگابایت,DATA,3 ماهه,,515200,153600.0,403132017
3 ماهه 250 گیگابایت,DATA,3 ماهه,,756000,256000.0,403132018
3 ماهه 45 گیگابایت,POSTPAID,3 ماهه,,333000,46080.0,405122020
3 ماهه 45 گیگابایت,PREPAID,3 ماهه,,333000,46080.0,405112022
3 ماهه 60 گیگابایت,POSTPAID,3 ماهه,,432000,61440.0,405122021
3 ماهه 60 گیگابایت,PREPAID,3 ماهه,,432000,61440.0,405112023
6 ماهه 180 گیگابایت,DATA,6 ماهه,,696000,184320.0,403132019
6 ماهه 360 گیگابایت,DATA,6 ماهه,,1031000,368640.0,403132020
6 ماهه 50 گیگابایت,POSTPAID,6 ماهه,,325000,51200.0,405122022
6 ماهه 50 گیگابایت,PREPAID,6 ماهه,,325000,51200.0,405112024
6 ماهه 80 گیگابایت,POSTPAID,6 ماهه,,496000,81920.0,405122023
6 ماهه 80 گیگابایت,PREPAID,6 ماهه,,496000,81920.0,405112025
7 روزه 1 گیگابایت,POSTPAID,7 روزه,,17980,1024.0,402122096
7 روزه 1 گیگابایت,PREPAID,7 روزه,,17980,1024.0,402112105
7 روزه 3 گیگابایت,POSTPAID,7 روزه,,26330,3072.0,402122097
